,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
FEERUM,33383.0,9366.0,5.899999958062118,9537916,56273704,0.003500030824343599,0.0009819755175029849
FERRUM,178946.0,34141.0,3.500000008633866,57911485,202690198,0.003089991562122781,0.0005895376366190575
FAST-FINANCE,1000.0,74426.0,0.755,1250000,943750,0.0008,0.0595408
FAMUR,6000.0,1186000.0,3.6899999993561643,574680673,2120571683,1.0440580798860449e-05,0.0020637548045747485
FMG,37884.0,0.0,61.0,196292,11973812,0.19299818637539992,0.0
FON,882.0,140387.0,4.48,1875000,8400000,0.0004704,0.07487306666666667
FERRO,21243.0,82374.0,24.6,21242655,522569313,0.0010000162409077396,0.0038777638670872356
FASING,8731.0,5298.0,12.500000160914043,3107249,38840613,0.0028098810233746956,0.0017050452023638916
FORTE,23931.0,114556.0,28.0,23930769,670061532,0.0010000096528448375,0.004786975295277807
GBK,5000.0,0.0,3.75,100000000,375000000,5e-05,0.0
GIF,563.0,18236.0,5.6,5627700,31515120,0.0001000408692716385,0.0032404001634770865
GIG,6575.0,234807.0,1.489999998175013,65753888,97973293,9.999408704166664e-05,0.003570997961367699
GKI,18841.0,103711.0,2.1200000021230596,75362932,159769416,0.00025000354285579016,0.0013761539957070673
GLOBAL-COSMED,87339.0,89720.0,2.0500000045798736,87338652,179044237,0.001000003984490166,0.0010272656830105414
GMT,936.0,16861.0,10.279999980312132,10158540,104429791,9.213922473111293e-05,0.0016597857566146316
GOBARTO,278002.0,0.0,8.200000007194186,27800229,227961878,0.009999989568431253,0.0
GOP,550.0,5071.0,13.3,5499260,73140158,0.00010001345635594607,0.0009221240676018228
GPP,341325.0,238247.0,55.89999999414049,68265026,3816014953,0.004999998095657357,0.0034900301656663837
GPW,63865.0,0.0,35.96,41972000,1509313120,0.0015216096445249214,0.0
GRODNO,1538.0,16396.0,13.299999980496509,15381861,204578751,9.998790133391532e-05,0.0010659308389277475
GRX,351473.0,49550.0,1.7219999999684568,253620464,436734439,0.0013858227149998433,0.0001953706700891455
GTC,57426.0,2997840.0,6.160000000835866,574255122,3537411552,0.00010000084944823531,0.005220397494338762
HYDROTOR,4797.0,13350.0,41.3,2398300,99049790,0.002000166784805904,0.005566442897052079
HELIO,2500.0,100033.0,11.9,5000000,59500000,0.0005,0.0200066
HOLLYWOOD,68564.0,71291.0,0.9859999933523236,67091111,66151835,0.001021953564012377,0.001062599783151601
HM-INWEST,2336.0,0.0,18.0,2336312,42053616,0.0009998664561924949,0.0
HARPER-HYGIENICS,1546.0,57795.0,4.79,6367000,30497930,0.00024281451232919743,0.00907727344118109
HERKULES,68238.0,59941.0,0.9800000029309093,34119105,33436723,0.0019999938450906024,0.0017568163057032123
HUG,10.0,1542190.0,27.760000003323572,84246697,2338688309,1.1869901558277116e-07,0.018305643484159386
IBSM,77355.0,0.0,66.0,386774,25527084,0.20000051709784009,0.0
ICE,627.0,47420.0,15.88,6272575,99608491,9.995894827881691e-05,0.007559893664085324
INDYGOTECH-MINERALS,8265.0,61022.0,0.25,16529188,4132297,0.0005000245626100931,0.0036917723968049733
IDM,2271.0,0.0,0.8250000077053675,45422882,37473878,4.999682759011196e-05,0.0
IFC,49296.0,1918.0,1.024999999048632,105111804,107739599,0.00046898633763340226,1.8247237008699802e-05
IFI,640.0,996.0,21.3,6400000,136320000,0.0001,0.000155625
IFR,1899.0,30180.0,2.38,4050000,9639000,0.0004688888888888889,0.007451851851851852
IIA,649059.0,22646507.0,53.50000000360569,138669711,7418829539,0.004680611182639589,0.1633125708324293
INDUSTRIAL-MILK-COMPANY,307.0,351442.0,15.599999988732542,35500464,553807238,8.647774293879652e-06,0.009899645255340888
IMP,4699.0,12743.0,1.8749999840387912,7831487,14684038,0.0006000137649465548,0.0016271494800412744
IMS,622.0,19667.0,2.6299999944262242,32294086,84933446,1.92604924629234e-05,0.0006089969538075795
INC,1204.0,11936.0,2.010000000830351,12043099,24206629,9.997426742070292e-05,0.0009911070232005899
INSTAL-KRAKOW,7286.0,10080.0,31.4,7285500,228764700,0.0010000686294694941,0.0013835701050030882
INTROL,5141.0,43694.0,6.059999996887647,25704018,155766349,0.0002000076408287607,0.0016998898771390528
INPRO,4004.0,62237.0,5.3,40040000,212212000,0.0001,0.0015543706293706294
IPOPEMA,2994.0,10351.0,2.3000000066805097,29937836,68857023,0.00010000722831135824,0.00034574977296288214
INTERSPPL,3413.0,1136.0,0.8080000117196542,34130700,27577606,9.999794906052323e-05,3.328381779453688e-05
INTER-RAO-LIETUVA,26677.0,5441.0,11.54,20000000,230800000,0.00133385,0.00027205
INTERBUD-LUBLIN,702.0,28264.0,1.03,7016000,7226480,0.0001000570125427594,0.004028506271379704
IZOBLOK,12670.0,42268.0,35.4,1267000,44851800,0.01,0.03336069455406472
IZOLACJA-JAROCIN,798.0,13765.0,3.44,3800000,13072000,0.00021,0.0036223684210526315
IZOSTAL,65488.0,38175.0,2.91,32744000,95285040,0.002,0.0011658624480820913
JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,1251900.0,905000.0,45.45999999863727,117411596,5337531154,0.010662490270552152,0.007707926906981147
JWW-INVEST,1100.0,29231.0,1.92,11000000,21120000,0.0001,0.0026573636363636365
K2-HOLDING,2318.0,5340.0,30.700000202621517,2467655,75757009,0.0009393533536900417,0.0021639978035827537
KRAKCHEMIA,9000.0,20389.0,0.492,9000000,4428000,0.001,0.0022654444444444445
KCI,57609.0,365077.0,0.94,68582150,64467221,0.0008399999125136789,0.005323207277695435
KDM-SHIPPING-PUBLIC-LIMITED,360.0,71825.0,1.4,9296000,13014400,3.87263339070568e-05,0.00772644148020654
KERNEL,9768.0,2202564.0,18.490000003570103,84031230,1553737443,0.00011624249698594201,0.02621125502982641
KGHM,2000000.0,0.0,116.45,200000000,23290000000,0.01,0.0
KGL,7077.0,30071.0,10.350000042393107,7076622,73243038,0.0010000534153159516,0.0042493438253449175
KOGENERACJA,252503.0,251258.0,26.6,14900000,396340000,0.016946510067114093,0.016862953020134228
KOMPAP,5617.0,34011.0,16.100000085461026,4680496,75355986,0.0012000864865603987,0.007266537563540274
KOMPUTRONIK,979.0,19841.0,6.339999983663424,9793974,62093795,9.99594240295104e-05,0.002025837520091436
KPD,5094.0,120736.0,69.6,1622400,112919040,0.003139792899408284,0.07441814595660749
KINO-POLSKA-TV,1982.0,148940.0,13.099999979819795,19821404,259660392,9.999291674797608e-05,0.007514099404865569
KREDYT-INKASO,12897.0,91725.0,9.09999996898591,12897364,117366012,0.0009999717771786544,0.007111918373397851
KRKA,256688.0,0.0,498.0,32793448,16331137104,0.007827417232857002,0.0
KRUK,19139.0,358506.0,302.3999900097263,19318790,5842001903,0.0009906935165194094,0.01855737341727924
KSG-AGRO,743.0,185085.0,1.92,15020000,28838400,4.9467376830892146e-05,0.012322569906790945
KETY,68025.0,60254.0,534.0,9650152,5153181168,0.0070491117652861845,0.006243839475274586
KVT,18378.0,59473.0,12.500000040810287,12251813,153147663,0.0015000228945707872,0.004854220350898271
LABO-PRINT,3812.0,3256.0,13.5,3812000,51462000,0.001,0.0008541448058761805
LIBET,500.0,134668.0,1.65,50000000,82500000,1e-05,0.00269336
LUBAWA,30054.0,106100.0,3.18,150270000,477858600,0.0002,0.0007060624209755773
